消息：order_sn值：5|日期：2017-02-22 03:47:38
消息：原order_sn值：|日期：2017-02-22 03:49:08
消息：order_sn值：6|日期：2017-02-22 03:49:08
消息：原order_sn值：DC0013117022215083900028|日期：2017-02-22 03:50:35
消息：order_sn值：8|日期：2017-02-22 03:50:35
消息：原order_sn值：DC0013117022215152700030|日期：2017-02-22 03:54:11
消息：order_sn值：00030|日期：2017-02-22 03:54:11
消息：原order_sn值：DC0013117022215152700030|日期：2017-02-22 03:58:00
消息：order_sn值：00030|日期：2017-02-22 03:58:00
消息：原order_sn值：DC0013117022215083900028|日期：2017-02-22 04:00:28
消息：order_sn值：00028|日期：2017-02-22 04:00:28
消息：原order_sn值：DC0013117022215152700030|日期：2017-02-22 04:06:40
消息：order_sn值：00030|日期：2017-02-22 04:06:40
消息：原order_sn值：DC0013117022215083900028|日期：2017-02-22 04:28:56
消息：order_sn值：00028|日期：2017-02-22 04:28:56
